Dumped File:,Real Filename:,Notes:
00000000.bin,script.dat,
00000001.bin,talk.dat,
00000002.bin,RMAPS.dat,
00000003.bin,RMAPS2.dat,
00000004.bin,new_font.ffm,
00000005.bin,new_font.tx2,
00000006.bin,font.ffm,
00000007.bin,font.tx2,
00000008.bin,new_font_c.ffm,
00000009.bin,new_font_c.tx2,
00000010.bin,new_font_k.ffm,
00000011.bin,new_font_k.tx2,
00000012.bin,sys02.tx2,
00000013.bin,sys03.tx2,
00000014.bin,sys04.tx2,
00000015.bin,sys05.tx2,
00000016.bin,sys06.tx2,
00000017.bin,wbg03.tx2,
00000018.bin,sys07.tx2,
00000019.bin,number.tx2,
00000020.bin,waku01.tx2,
00000021.bin,wbg01.tx2,
00000022.bin,wbg02.tx2,
00000023.bin,waku02.tx2,
00000024.bin,waku03.tx2,
00000025.bin,item.tx2,
00000026.bin,name.tx2,
00000027.bin,wbg04.tx2,
00000028.bin,wbg05.tx2,
00000029.bin,wbg06.tx2,
00000030.bin,wbg08.tx2,
00000031.bin,wbg09.tx2,
00000032.bin,back.tx2,
00000033.bin,eef.tx2,
00000034.bin,effect.km3,
00000035.bin,base.km2,
00000036.bin,mgate.km2,
00000037.bin,taiho01.km2,
00000038.bin,taiho02.km2,
00000039.bin,cursor.km2,
00000040.bin,enn.km2,
00000041.bin,magic.dat,
00000042.bin,HABIT.dat,
00000043.bin,char_j.dat,
00000044.bin,char_e.dat,
00000045.bin,char_c.dat,
00000046.bin,char_k.dat,
00000047.bin,charhelp.dat,
00000048.bin,mitem.dat,
00000049.bin,dungeon.dat,
00000050.bin,GE.dat,
00000051.bin,name_j.dat,
00000052.bin,name_e.dat,
00000053.bin,name_c.dat,
00000054.bin,name_k.dat,
00000055.bin,WISH.dat,
00000056.bin,HOSPITAL.dat,
00000057.bin,THIEF.dat,
00000058.bin,zukan.dat,
00000059.bin,musicshop.dat,
00000060.bin,geocube.dat,
00000061.bin,face.dat,
00000062.bin,mp25001.dat,
00000063.bin,se01.phd,
00000064.bin,se01.pbd,
00000065.bin,se02.phd,
00000066.bin,se02.pbd,
00000067.bin,voice01.phd,
00000068.bin,voice01.pbd,
00000069.bin,voice02.phd,
00000070.bin,voice02.pbd,
00000071.bin,ANM00.dat,
00000072.bin,keyboard.tx2,
00000073.bin,new_face.dat,
00000074.bin,new_gui01.tx2,
00000075.bin,new_keyboard.tx2,
00000076.bin,new_gui02.tx2,
00000077.bin,new_sys06.tx2,
00000078.bin,new_waku3.tx2,
00000079.bin,new_gui03.tx2,
00000080.bin,new_gui04.tx2,
00000081.bin,new_item.tx2,
00000082.bin,new_gui05.tx2,
00000083.bin,new_gui06.tx2,
00000084.bin,new_gui07.tx2,
00000085.bin,new_gui08.tx2,
00000086.bin,new_gui09.tx2,
00000087.bin,new_gui10.tx2,
00000088.bin,new_gui11.tx2,
00000089.bin,new_gui12.tx2,
00000090.bin,new_sys01.tx2,
00000091.bin,new_number.tx2,
00000092.bin,new_sys05.tx2,
00000093.bin,new_gui13.tx2,
00000094.bin,new_name.tx2,
00000095.bin,new_number02.tx2,
00000096.bin,new_mp25001.dat,
00000097.bin,menu_list.dat,
